CVE ID,Package Name,Severity,Version,Fixed in version,Description,Source(image name)
CVE-2016-9115,libopenjp2-7,LOW,2.5.0-2+deb12u1,N/A,"Heap Buffer Over-read in function imagetotga of convert.c(jp2):942 in OpenJPEG 2.1.2. Impact is Denial of Service. Someone must open a crafted j2k file.",|tykio/midsommar|
CVE-2016-9114,libopenjp2-7,LOW,2.5.0-2+deb12u1,N/A,"There is a NULL Pointer Access in function imagetopnm of convert.c:1943(jp2) of OpenJPEG 2.1.2. image->comps[compno].data is not assigned a value after initialization(NULL). Impact is Denial of Service.",|tykio/midsommar|
CVE-2020-22218,libssh2-1,HIGH,1.8.0-2.1,1.8.0-2.1+deb10u1,"An issue was discovered in function _libssh2_packet_add in libssh2 1.10.0 allows attackers to access out of bounds memory.",|tykio/tyk-dashboard|
CVE-2016-9117,libopenjp2-7,LOW,2.5.0-2+deb12u1,N/A,"NULL Pointer Access in function imagetopnm of convert.c(jp2):1289 in OpenJPEG 2.1.2. Impact is Denial of Service. Someone must open a crafted j2k file.",|tykio/midsommar|
CVE-2016-9116,libopenjp2-7,LOW,2.5.0-2+deb12u1,N/A,"NULL Pointer Access in function imagetopnm of convert.c:2226(jp2) in OpenJPEG 2.1.2. Impact is Denial of Service. Someone must open a crafted j2k file.",|tykio/midsommar|
CVE-2023-0466,libssl1.1,MEDIUM,1.1.1d-0+deb10u4,1.1.1n-0+deb10u5,"The function X509_VERIFY_PARAM_add0_policy() is documented to implicitly enable the certificate policy check when doing certificate verification. However the implementation of the function does not enable the check which allows certificates with invalid or incorrect policies to pass the certificate verification.  As suddenly enabling the policy check could break existing deployments it was decided to keep the existing behavior of the X509_VERIFY_PARAM_add0_policy() function.  Instead the applications that require OpenSSL to perform certificate policy check need to use X509_VERIFY_PARAM_set1_policies() or explicitly enable the policy check by calling X509_VERIFY_PARAM_set_flags() with the X509_V_FLAG_POLICY_CHECK flag argument.  Certificate policy checks are disabled by default in OpenSSL and are not commonly used by applications.",|tykio/tyk-dashboard|
CVE-2023-0464,libssl1.1,HIGH,1.1.1d-0+deb10u4,1.1.1n-0+deb10u5,"A security vulnerability has been identified in all supported versions  of OpenSSL related to the verification of X.509 certificate chains that include policy constraints.  Attackers may be able to exploit this vulnerability by creating a malicious certificate chain that triggers exponential use of computational resources\, leading to a denial-of-service (DoS) attack on affected systems.  Policy processing is disabled by default but can be enabled by passing the `-policy' argument to the command line utilities or by calling the `X509_VERIFY_PARAM_set1_policies()' function.",|tykio/tyk-dashboard|
CVE-2023-0465,libssl1.1,MEDIUM,1.1.1d-0+deb10u4,1.1.1n-0+deb10u5,"Applications that use a non-default option when verifying certificates may be vulnerable to an attack from a malicious CA to circumvent certain checks.  Invalid certificate policies in leaf certificates are silently ignored by OpenSSL and other certificate policy checks are skipped for that certificate. A malicious CA could use this to deliberately assert invalid certificate policies in order to circumvent policy checking on the certificate altogether.  Policy processing is disabled by default but can be enabled by passing the `-policy' argument to the command line utilities or by calling the `X509_VERIFY_PARAM_set1_policies()' function.",|tykio/tyk-dashboard|
CVE-2022-29155,libldap-2.4-2,CRITICAL,2.4.47+dfsg-3+deb10u4,2.4.47+dfsg-3+deb10u7,"In OpenLDAP 2.x before 2.5.12 and 2.6.x before 2.6.2\, a SQL injection vulnerability exists in the experimental back-sql backend to slapd\, via a SQL statement within an LDAP query. This can occur during an LDAP search operation when the search filter is processed\, due to a lack of proper escaping.",|tykio/tyk-dashboard|
CVE-2017-7245,libpcre3,LOW,2:8.39-12,N/A,"Stack-based buffer overflow in the pcre32_copy_substring function in pcre_get.c in libpcre1 in PCRE 8.40 allows remote attackers to cause a denial of service (WRITE of size 4) or possibly have unspecified other impact via a crafted file.",|tykio/tyk-dashboard|
CVE-2017-7246,libpcre3,LOW,2:8.39-12,N/A,"Stack-based buffer overflow in the pcre32_copy_substring function in pcre_get.c in libpcre1 in PCRE 8.40 allows remote attackers to cause a denial of service (WRITE of size 268) or possibly have unspecified other impact via a crafted file.",|tykio/tyk-dashboard|
CVE-2023-5388,libnss3,MEDIUM,2:3.87.1-1+deb12u1,N/A,"NSS was susceptible to a timing side-channel attack when performing RSA decryption. This attack could potentially allow an attacker to recover the private data. This vulnerability affects Firefox < 124\, Firefox ESR < 115.9\, and Thunderbird < 115.9.",|tykio/midsommar|
CVE-2020-36226,libldap-2.4-2,HIGH,2.4.47+dfsg-3+deb10u4,2.4.47+dfsg-3+deb10u5,"A flaw was discovered in OpenLDAP before 2.4.57 leading to a memch->bv_len miscalculation and slapd crash in the saslAuthzTo processing\, resulting in denial of service.",|tykio/tyk-dashboard|
CVE-2020-36227,libldap-2.4-2,HIGH,2.4.47+dfsg-3+deb10u4,2.4.47+dfsg-3+deb10u5,"A flaw was discovered in OpenLDAP before 2.4.57 leading to an infinite loop in slapd with the cancel_extop Cancel operation\, resulting in denial of service.",|tykio/tyk-dashboard|
CVE-2020-36224,libldap-2.4-2,HIGH,2.4.47+dfsg-3+deb10u4,2.4.47+dfsg-3+deb10u5,"A flaw was discovered in OpenLDAP before 2.4.57 leading to an invalid pointer free and slapd crash in the saslAuthzTo processing\, resulting in denial of service.",|tykio/tyk-dashboard|
CVE-2020-36225,libldap-2.4-2,HIGH,2.4.47+dfsg-3+deb10u4,2.4.47+dfsg-3+deb10u5,"A flaw was discovered in OpenLDAP before 2.4.57 leading to a double free and slapd crash in the saslAuthzTo processing\, resulting in denial of service.",|tykio/tyk-dashboard|
CVE-2020-36222,libldap-2.4-2,HIGH,2.4.47+dfsg-3+deb10u4,2.4.47+dfsg-3+deb10u5,"A flaw was discovered in OpenLDAP before 2.4.57 leading to an assertion failure in slapd in the saslAuthzTo validation\, resulting in denial of service.",|tykio/tyk-dashboard|
CVE-2020-36223,libldap-2.4-2,HIGH,2.4.47+dfsg-3+deb10u4,2.4.47+dfsg-3+deb10u5,"A flaw was discovered in OpenLDAP before 2.4.57 leading to a slapd crash in the Values Return Filter control handling\, resulting in denial of service (double free and out-of-bounds read).",|tykio/tyk-dashboard|
DLA-3684-1,tzdata,UNKNOWN,2020e-0+deb10u1,2021a-0+deb10u12,"No description",|tykio/tyk-dashboard|
CVE-2020-36221,libldap-2.4-2,HIGH,2.4.47+dfsg-3+deb10u4,2.4.47+dfsg-3+deb10u5,"An integer underflow was discovered in OpenLDAP before 2.4.57 leading to slapd crashes in the Certificate Exact Assertion processing\, resulting in denial of service (schema_init.c serialNumberAndIssuerCheck).",|tykio/tyk-dashboard|
CVE-2023-36054,libgssapi-krb5-2,MEDIUM,1.17-3+deb10u1,1.17-3+deb10u6,"lib/kadm5/kadm_rpc_xdr.c in MIT Kerberos 5 (aka krb5) before 1.20.2 and 1.21.x before 1.21.1 frees an uninitialized pointer. A remote authenticated user can trigger a kadmind crash. This occurs because _xdr_kadm5_principal_ent_rec does not validate the relationship between n_key_data and the key_data array count.",|tykio/tyk-dashboard|
CVE-2020-36228,libldap-2.4-2,HIGH,2.4.47+dfsg-3+deb10u4,2.4.47+dfsg-3+deb10u5,"An integer underflow was discovered in OpenLDAP before 2.4.57 leading to a slapd crash in the Certificate List Exact Assertion processing\, resulting in denial of service.",|tykio/tyk-dashboard|
CVE-2020-36229,libldap-2.4-2,HIGH,2.4.47+dfsg-3+deb10u4,2.4.47+dfsg-3+deb10u5,"A flaw was discovered in ldap_X509dn2bv in OpenLDAP before 2.4.57 leading to a slapd crash in the X.509 DN parsing in ad_keystring\, resulting in denial of service.",|tykio/tyk-dashboard|
TEMP-0290435-0B57B5,tar,LOW,1.34+dfsg-1.2+deb12u1,N/A,"No description",|tykio/midsommar||tykio/tyk-dashboard|
CVE-2023-45853,zlib1g,CRITICAL,1:1.2.13.dfsg-1,N/A,"MiniZip in zlib through 1.3 has an integer overflow and resultant heap-based buffer overflow in zipOpenNewFileInZip4_64 via a long filename\, comment\, or extra field. NOTE: MiniZip is not a supported part of the zlib product. NOTE: pyminizip through 0.2.6 is also vulnerable because it bundles an affected zlib version\, and exposes the applicable MiniZip code through its compress API.",|tykio/midsommar||tykio/tyk-dashboard|
CVE-2024-26461,libgssapi-krb5-2,LOW,1.17-3+deb10u1,N/A,"Kerberos 5 (aka krb5) 1.21.2 contains a memory leak vulnerability in /krb5/src/lib/gssapi/krb5/k5sealv3.c.",|tykio/tyk-dashboard|
CVE-2019-20386,libsystemd0,LOW,241-7~deb10u5,N/A,"An issue was discovered in button_open in login/logind-button.c in systemd before 243. When executing the udevadm trigger command\, a memory leak may occur.",|tykio/tyk-dashboard|
CVE-2023-26604,libsystemd0,HIGH,241-7~deb10u5,241-7~deb10u9,"systemd before 247 does not adequately block local privilege escalation for some Sudo configurations\, e.g.\, plausible sudoers files in which the ""systemctl status"" command may be executed. Specifically\, systemd does not set LESSSECURE to 1\, and thus other programs may be launched from the less program. This presents a substantial security risk when running systemctl from Sudo\, because less executes as root when the terminal size is too small to show the complete systemctl output.",|tykio/tyk-dashboard|
CVE-2022-0778,libssl1.1,HIGH,1.1.1d-0+deb10u4,1.1.1d-0+deb10u8,"The BN_mod_sqrt() function\, which computes a modular square root\, contains a bug that can cause it to loop forever for non-prime moduli. Internally this function is used when parsing certificates that contain elliptic curve public keys in compressed form or explicit elliptic curve parameters with a base point encoded in compressed form. It is possible to trigger the infinite loop by crafting a certificate that has invalid explicit curve parameters. Since certificate parsing happens prior to verification of the certificate signature\, any process that parses an externally supplied certificate may thus be subject to a denial of service attack. The infinite loop can also be reached when parsing crafted private keys as they can contain explicit elliptic curve parameters. Thus vulnerable situations include: - TLS clients consuming server certificates - TLS servers consuming client certificates - Hosting providers taking certificates or private keys from customers - Certificate authorities parsing certification requests from subscribers - Anything else which parses ASN.1 elliptic curve parameters Also any other applications that use the BN_mod_sqrt() where the attacker can control the parameter values are vulnerable to this DoS issue. In the OpenSSL 1.0.2 version the public key is not parsed during initial parsing of the certificate which makes it slightly harder to trigger the infinite loop. However any operation which requires the public key from the certificate will trigger the infinite loop. In particular the attacker can use a self-signed certificate to trigger the loop during verification of the certificate signature. This issue affects OpenSSL versions 1.0.2\, 1.1.1 and 3.0. It was addressed in the releases of 1.1.1n and 3.0.2 on the 15th March 2022. Fixed in OpenSSL 3.0.2 (Affected 3.0.0\,3.0.1). Fixed in OpenSSL 1.1.1n (Affected 1.1.1-1.1.1m). Fixed in OpenSSL 1.0.2zd (Affected 1.0.2-1.0.2zc).",|tykio/tyk-dashboard|
CVE-2021-22947,curl,MEDIUM,7.64.0-4+deb10u1,7.64.0-4+deb10u3,"When curl >= 7.20.0 and <= 7.78.0 connects to an IMAP or POP3 server to retrieve data using STARTTLS to upgrade to TLS security\, the server can respond and send back multiple responses at once that curl caches. curl would then upgrade to TLS but not flush the in-queue of cached responses but instead continue using and trustingthe responses it got *before* the TLS handshake as if they were authenticated.Using this flaw\, it allows a Man-In-The-Middle attacker to first inject the fake responses\, then pass-through the TLS traffic from the legitimate server and trick curl into sending data back to the user thinking the attacker's injected data comes from the TLS-protected server.",|tykio/tyk-dashboard|
CVE-2021-22946,curl,HIGH,7.64.0-4+deb10u1,7.64.0-4+deb10u3,"A user can tell curl >= 7.20.0 and <= 7.78.0 to require a successful upgrade to TLS when speaking to an IMAP\, POP3 or FTP server (`--ssl-reqd` on the command line or`CURLOPT_USE_SSL` set to `CURLUSESSL_CONTROL` or `CURLUSESSL_ALL` withlibcurl). This requirement could be bypassed if the server would return a properly crafted but perfectly legitimate response.This flaw would then make curl silently continue its operations **withoutTLS** contrary to the instructions and expectations\, exposing possibly sensitive data in clear text over the network.",|tykio/tyk-dashboard|
CVE-2013-4472,libpoppler126,LOW,22.12.0-2+b1,N/A,"The openTempFile function in goo/gfile.cc in Xpdf and Poppler 0.24.3 and earlier\, when running on a system other than Unix\, allows local users to overwrite arbitrary files via a symlink attack on temporary files with predictable names.",|tykio/midsommar|
CVE-2021-3449,libssl1.1,MEDIUM,1.1.1d-0+deb10u4,1.1.1d-0+deb10u6,"An OpenSSL TLS server may crash if sent a maliciously crafted renegotiation ClientHello message from a client. If a TLSv1.2 renegotiation ClientHello omits the signature_algorithms extension (where it was present in the initial ClientHello)\, but includes a signature_algorithms_cert extension then a NULL pointer dereference will result\, leading to a crash and a denial of service attack. A server is only vulnerable if it has TLSv1.2 and renegotiation enabled (which is the default configuration). OpenSSL TLS clients are not impacted by this issue. All OpenSSL 1.1.1 versions are affected by this issue. Users of these versions should upgrade to OpenSSL 1.1.1k. OpenSSL 1.0.2 is not impacted by this issue. Fixed in OpenSSL 1.1.1k (Affected 1.1.1-1.1.1j).",|tykio/tyk-dashboard|
CVE-2024-0553,libgnutls30,HIGH,3.6.7-4+deb10u5,3.6.7-4+deb10u12,"A vulnerability was found in GnuTLS. The response times to malformed ciphertexts in RSA-PSK ClientKeyExchange differ from the response times of ciphertexts with correct PKCS#1 v1.5 padding. This issue may allow a remote attacker to perform a timing side-channel attack in the RSA-PSK key exchange\, potentially leading to the leakage of sensitive data. CVE-2024-0553 is designated as an incomplete resolution for CVE-2023-5981.",|tykio/tyk-dashboard|
CVE-2019-13115,libssh2-1,HIGH,1.8.0-2.1,1.8.0-2.1+deb10u1,"In libssh2 before 1.9.0\, kex_method_diffie_hellman_group_exchange_sha256_key_exchange in kex.c has an integer overflow that could lead to an out-of-bounds read in the way packets are read from the server. A remote attacker who compromises a SSH server may be able to disclose sensitive information or cause a denial of service condition on the client system when a user connects to the server. This is related to an _libssh2_check_length mistake\, and is different from the various issues fixed in 1.8.1\, such as CVE-2019-3855.",|tykio/tyk-dashboard|
CVE-2023-0361,libgnutls30,HIGH,3.6.7-4+deb10u5,3.6.7-4+deb10u10,"A timing side-channel in the handling of RSA ClientKeyExchange messages was discovered in GnuTLS. This side-channel can be sufficient to recover the key encrypted in the RSA ciphertext across a network in a Bleichenbacher style attack. To achieve a successful decryption the attacker would need to send a large amount of specially crafted messages to the vulnerable server. By recovering the secret from the ClientKeyExchange message\, the attacker would be able to decrypt the application data exchanged over that connection.",|tykio/tyk-dashboard|
CVE-2024-9681,curl,MEDIUM,7.64.0-4+deb10u1,N/A,"When curl is asked to use HSTS\, the expiry time for a subdomain might overwrite a parent domain's cache entry\, making it end sooner or later than otherwise intended.  This affects curl using applications that enable HSTS and use URLs with the insecure `HTTP://` scheme and perform transfers with hosts like `x.example.com` as well as `example.com` where the first host is a subdomain of the second host.  (The HSTS cache either needs to have been populated manually or there needs to have been previous HTTPS accesses done as the cache needs to have entries for the domains involved to trigger this problem.)  When `x.example.com` responds with `Strict-Transport-Security:` headers\, this bug can make the subdomain's expiry timeout *bleed over* and get set for the parent domain `example.com` in curl's HSTS cache.  The result of a triggered bug is that HTTP accesses to `example.com` get converted to HTTPS for a different period of time than what was asked for by the origin server. If `example.com` for example stops supporting HTTPS at its expiry time\, curl might then fail to access `http://example.com` until the (wrongly set) timeout expires. This bug can also expire the parent's entry *earlier*\, thus making curl inadvertently switch back to insecure HTTP earlier than otherwise intended.",|tykio/tyk-dashboard|
CVE-2023-4641,login,MEDIUM,1:4.13+dfsg1-1+b1,N/A,"A flaw was found in shadow-utils. When asking for a new password\, shadow-utils asks the password twice. If the password fails on the second attempt\, shadow-utils fails in cleaning the buffer used to store the first entry. This may allow an attacker with enough access to retrieve the password from the memory.",|tykio/midsommar||tykio/tyk-dashboard|
CVE-2023-31484,perl-base,HIGH,5.36.0-7+deb12u1,N/A,"CPAN.pm before 2.35 does not verify TLS certificates when downloading distributions over HTTPS.",|tykio/midsommar||tykio/tyk-dashboard|
CVE-2023-31486,perl-base,LOW,5.36.0-7+deb12u1,N/A,"HTTP::Tiny before 0.083\, a Perl core module since 5.13.9 and available standalone on CPAN\, has an insecure default TLS configuration where users must opt in to verify certificates.",|tykio/midsommar||tykio/tyk-dashboard|
CVE-2019-9545,libpoppler126,LOW,22.12.0-2+b1,N/A,"An issue was discovered in Poppler 0.74.0. A recursive function call\, in JBIG2Stream::readTextRegion() located in JBIG2Stream.cc\, can be triggered by sending a crafted pdf file to (for example) the pdfimages binary. It allows an attacker to cause Denial of Service (Segmentation fault) or possibly have unspecified other impact. This is related to JBIG2Bitmap::clearToZero.",|tykio/midsommar|
CVE-2022-2068,libssl1.1,CRITICAL,1.1.1d-0+deb10u4,1.1.1n-0+deb10u3,"In addition to the c_rehash shell command injection identified in CVE-2022-1292\, further circumstances where the c_rehash script does not properly sanitise shell metacharacters to prevent command injection were found by code review. When the CVE-2022-1292 was fixed it was not discovered that there are other places in the script where the file names of certificates being hashed were possibly passed to a command executed through the shell. This script is distributed by some operating systems in a manner where it is automatically executed. On such operating systems\, an attacker could execute arbitrary commands with the privileges of the script. Use of the c_rehash script is considered obsolete and should be replaced by the OpenSSL rehash command line tool. Fixed in OpenSSL 3.0.4 (Affected 3.0.0\,3.0.1\,3.0.2\,3.0.3). Fixed in OpenSSL 1.1.1p (Affected 1.1.1-1.1.1o). Fixed in OpenSSL 1.0.2zf (Affected 1.0.2-1.0.2ze).",|tykio/tyk-dashboard|
TEMP-0628843-DBAD28,login,LOW,1:4.13+dfsg1-1+b1,N/A,"No description",|tykio/midsommar||tykio/tyk-dashboard|
CVE-2019-9543,libpoppler126,LOW,22.12.0-2+b1,N/A,"An issue was discovered in Poppler 0.74.0. A recursive function call\, in JBIG2Stream::readGenericBitmap() located in JBIG2Stream.cc\, can be triggered by sending a crafted pdf file to (for example) the pdfseparate binary. It allows an attacker to cause Denial of Service (Segmentation fault) or possibly have unspecified other impact. This is related to JArithmeticDecoder::decodeBit.",|tykio/midsommar|
CVE-2021-40528,libgcrypt20,MEDIUM,1.8.4-5,1.8.4-5+deb10u1,"The ElGamal implementation in Libgcrypt before 1.9.4 allows plaintext recovery because\, during interaction between two cryptographic libraries\, a certain dangerous combination of the prime defined by the receiver's public key\, the generator defined by the receiver's public key\, and the sender's ephemeral exponents can lead to a cross-configuration attack against OpenPGP.",|tykio/tyk-dashboard|
CVE-2018-16376,libopenjp2-7,LOW,2.5.0-2+deb12u1,N/A,"An issue was discovered in OpenJPEG 2.3.0. A heap-based buffer overflow was discovered in the function t2_encode_packet in lib/openmj2/t2.c. The vulnerability causes an out-of-bounds write\, which may lead to remote denial of service or possibly unspecified other impact.",|tykio/midsommar|
CVE-2018-16375,libopenjp2-7,LOW,2.5.0-2+deb12u1,N/A,"An issue was discovered in OpenJPEG 2.3.0. Missing checks for header_info.height and header_info.width in the function pnmtoimage in bin/jpwl/convert.c can lead to a heap-based buffer overflow.",|tykio/midsommar|
CVE-2021-33560,libgcrypt20,HIGH,1.8.4-5,N/A,"Libgcrypt before 1.8.8 and 1.9.x before 1.9.3 mishandles ElGamal encryption because it lacks exponent blinding to address a side-channel attack against mpi_powm\, and the window size is not chosen appropriately. This\, for example\, affects use of ElGamal in OpenPGP.",|tykio/tyk-dashboard|
CVE-2023-34872,libpoppler126,MEDIUM,22.12.0-2+b1,N/A,"A vulnerability in Outline.cc for Poppler prior to 23.06.0 allows a remote attacker to cause a Denial of Service (DoS) (crash) via a crafted PDF file in OutlineItem::open.",|tykio/midsommar|
CVE-2011-3374,apt,LOW,2.6.1,N/A,"It was found that apt-key in apt\, all versions\, do not correctly validate gpg keys with the master keyring\, leading to a potential man-in-the-middle attack.",|tykio/midsommar||tykio/tyk-dashboard|
CVE-2023-5981,libgnutls30,MEDIUM,3.6.7-4+deb10u5,3.6.7-4+deb10u11,"A vulnerability was found that the response times to malformed ciphertexts in RSA-PSK ClientKeyExchange differ from response times of ciphertexts with correct PKCS#1 v1.5 padding.",|tykio/tyk-dashboard|
CVE-2022-35252,curl,LOW,7.64.0-4+deb10u1,7.64.0-4+deb10u4,"When curl is used to retrieve and parse cookies from a HTTP(S) server\, itaccepts cookies using control codes that when later are sent back to a HTTPserver might make the server return 400 responses. Effectively allowing a""sister site"" to deny service to all siblings.",|tykio/tyk-dashboard|
CVE-2025-29088,libsqlite3-0,MEDIUM,3.40.1-2+deb12u1,N/A,"In SQLite 3.49.0 before 3.49.1\, certain argument values to sqlite3_db_config (in the C-language API) can cause a denial of service (application crash). An sz*nBig multiplication is not cast to a 64-bit integer\, and consequently some memory allocations may be incorrect.",|tykio/midsommar|
CVE-2023-4813,libc-bin,MEDIUM,2.28-10,N/A,"A flaw was found in glibc. In an uncommon situation\, the gaih_inet function may use memory that has been freed\, resulting in an application crash. This issue is only exploitable when the getaddrinfo function is called and the hosts database in /etc/nsswitch.conf is configured with SUCCESS=continue or SUCCESS=merge.",|tykio/tyk-dashboard|
CVE-2024-56378,libpoppler126,MEDIUM,22.12.0-2+b1,N/A,"libpoppler.so in Poppler through 24.12.0 has an out-of-bounds read vulnerability within the JBIG2Bitmap::combine function in JBIG2Stream.cc.",|tykio/midsommar|
CVE-2024-7264,curl,MEDIUM,7.64.0-4+deb10u1,N/A,"libcurl's ASN1 parser code has the `GTime2str()` function\, used for parsing an ASN.1 Generalized Time field. If given an syntactically incorrect field\, the parser might end up using -1 for the length of the *time fraction*\, leading to a `strlen()` getting performed on a pointer to a heap buffer area that is not (purposely) null terminated.  This flaw most likely leads to a crash\, but can also lead to heap contents getting returned to the application when [CURLINFO_CERTINFO](https://curl.se/libcurl/c/CURLINFO_CERTINFO.html) is used.",|tykio/tyk-dashboard|
CVE-2021-22898,curl,LOW,7.64.0-4+deb10u1,7.64.0-4+deb10u3,"curl 7.7 through 7.76.1 suffers from an information disclosure when the `-t` command line option\, known as `CURLOPT_TELNETOPTIONS` in libcurl\, is used to send variable=content pairs to TELNET servers. Due to a flaw in the option parser for sending NEW_ENV variables\, libcurl could be made to pass on uninitialized data from a stack based buffer to the server\, resulting in potentially revealing sensitive internal information to the server using a clear-text network protocol.",|tykio/tyk-dashboard|
CVE-2021-36222,libgssapi-krb5-2,HIGH,1.17-3+deb10u1,1.17-3+deb10u2,"ec_verify in kdc/kdc_preauth_ec.c in the Key Distribution Center (KDC) in MIT Kerberos 5 (aka krb5) before 1.18.4 and 1.19.x before 1.19.2 allows remote attackers to cause a NULL pointer dereference and daemon crash. This occurs because a return value is not properly managed in a certain situation.",|tykio/tyk-dashboard|
CVE-2021-20305,libhogweed4,HIGH,3.4.1-1,3.4.1-1+deb10u1,"A flaw was found in Nettle in versions before 3.7.2\, where several Nettle signature verification functions (GOST DSA\, EDDSA & ECDSA) result in the Elliptic Curve Cryptography point (ECC) multiply function being called with out-of-range scalers\, possibly resulting in incorrect results. This flaw allows an attacker to force an invalid signature\, causing an assertion failure or possible validation. The highest threat to this vulnerability is to confidentiality\, integrity\, as well as system availability.",|tykio/tyk-dashboard|
CVE-2022-24106,libpoppler126,LOW,22.12.0-2+b1,N/A,"In Xpdf prior to 4.04\, the DCT (JPEG) decoder was incorrectly allowing the 'interleaved' flag to be changed after the first scan of the image\, leading to an unknown integer-related vulnerability in Stream.cc.",|tykio/midsommar|
CVE-2021-22890,curl,LOW,7.64.0-4+deb10u1,7.64.0-4+deb10u2,"curl 7.63.0 to and including 7.75.0 includes vulnerability that allows a malicious HTTPS proxy to MITM a connection due to bad handling of TLS 1.3 session tickets. When using a HTTPS proxy and TLS 1.3\, libcurl can confuse session tickets arriving from the HTTPS proxy but work as if they arrived from the remote server and then wrongly ""short-cut"" the host handshake. When confusing the tickets\, a HTTPS proxy can trick libcurl to use the wrong session ticket resume for the host and thereby circumvent the server TLS certificate check and make a MITM attack to be possible to perform unnoticed. Note that such a malicious HTTPS proxy needs to provide a certificate that curl will accept for the MITMed server for an attack to work - unless curl has been told to ignore the server certificate check.",|tykio/tyk-dashboard|
CVE-2024-8176,libexpat1,HIGH,2.5.0-1+deb12u1,N/A,"A stack overflow vulnerability exists in the libexpat library due to the way it handles recursive entity expansion in XML documents. When parsing an XML document with deeply nested entity references\, libexpat can be forced to recurse indefinitely\, exhausting the stack space and causing a crash. This issue could lead to denial of service (DoS) or\, in some cases\, exploitable memory corruption\, depending on the environment and library usage.",|tykio/midsommar|
DLA-3134-1,tzdata,UNKNOWN,2020e-0+deb10u1,2021a-0+deb10u7,"No description",|tykio/tyk-dashboard|
